Sr.No,GPU Name,Prices,link
54,GIGABYTE VISION OC GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TVISION OC-12GD,1149,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308tvision-oc-12gd/p/N82E16814932437R?Item=N82E16814932437R&Description=3080&cm_re=3080-_-14-932-437R-_-Product
55,PC Game Pass - 3 Month Membership US [Digital Code] and EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING 12G-P5-4865-KL 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,1149,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493655
56,ELDEN RING - PC [Steam Online Game Code] and MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti Ventus 3X 12G OC,1154,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493946
57,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE OC-12GD,1154,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493955
58,ELDEN RING - PC [Steam Online Game Code] and ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Axial-tech Fan Design 2.9-slot Super Alloy Power II GPU Tweak II),1154,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493857
59,PC Game Pass - 3 Month Membership US [Digital Code] and MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G,1159,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493661
60,PC Game Pass - 3 Month Membership US [Digital Code] and EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING Video Card 12G-P5-3955-KR 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate,1163,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493392
61,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING 12G-P5-4865-KL 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,1168,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493567
62,PC Game Pass - 3 Month Membership US [Digital Code] and EVGA FTW3 ULTRA GeForce RTX 3080 Video Card LHR 12G-P5-4877-KL,1169,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493372
63,Tiny Tina's Wonderlands [Epic Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING 12G-P5-4865-KL 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,1171,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493523
64,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G,1178,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493573
65,Tiny Tina's Wonderlands [Epic Online Game Code] and MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G,1181,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493529
66,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING Video Card 12G-P5-3955-KR 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate,1182,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493192
67,ELDEN RING - PC [Steam Online Game Code] and EVGA GeForce RTX 3080 12GB XC3 ULTRA GAMING 12G-P5-4865-KL 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate LHR,1184,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493943
68,Tiny Tina's Wonderlands [Epic Online Game Code] and EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING Video Card 12G-P5-3955-KR 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate,1185,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493092
69,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and EVGA FTW3 ULTRA GeForce RTX 3080 Video Card LHR 12G-P5-4877-KL,1188,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493172
70,Tiny Tina's Wonderlands [Epic Online Game Code] and EVGA FTW3 ULTRA GeForce RTX 3080 Video Card LHR 12G-P5-4877-KL,1191,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493072
71,ELDEN RING - PC [Steam Online Game Code] and MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti Gaming X Trio 12G,1194,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493949
72,ELDEN RING - PC [Steam Online Game Code] and EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING Video Card 12G-P5-3955-KR 12GB GDDR6X iCX3 Cooling ARGB LED Metal Backplate,1198,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493856
73,ELDEN RING - PC [Steam Online Game Code] and EVGA FTW3 ULTRA GeForce RTX 3080 Video Card LHR 12G-P5-4877-KL,1204,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493836
74,GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD,1209,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308tgaming-oc-12gd/p/N82E16814932436R?Item=N82E16814932436R&Description=3080&cm_re=3080-_-14-932-436R-_-Product
75,ZOTAC TRINITY OC LHR GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ZT-A30800J-10PLHR,1210,https://www.newegg.com/zotac-geforce-rtx-3080-zt-a30800j-10plhr/p/N82E16814500520?Item=N82E16814500520&Description=3080&cm_re=3080-_-14-500-520-_-Product
76,PC Game Pass - 3 Month Membership US [Digital Code] and EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card 12G-P5-3967-KR 12GB GDDR6X iCX3 Technology ARGB LED Metal Backplate,1212,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493390
77,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE VISION OC GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD,1219,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493676
78,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX W-12GD,1219,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493674
79,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX WB-12GD,1219,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493669
80,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card 12G-P5-3967-KR 12GB GDDR6X iCX3 Technology ARGB LED Metal Backplate,1231,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493190
81,Tiny Tina's Wonderlands [Epic Online Game Code] and EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card 12G-P5-3967-KR 12GB GDDR6X iCX3 Technology ARGB LED Metal Backplate,1234,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493090
82,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE VISION OC GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD,1238,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493588
83,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX WB-12GD,1238,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493581
84,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX W-12GD,1238,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493586
85,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX WB-12GD,1241,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493537
86,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX W-12GD,1241,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493542
87,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE VISION OC GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD,1241,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493544
